ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001231409-25-000006	/s/ Carolyn Slattery, attorney-in-fact	09-DEC-2025
0001753616-25-000003	/s/ Michael Dunn, Attorney-in-Fact	09-DEC-2025
0001193125-25-312790	/s/ Inga Fyodorova, as Attorney-in-Fact for Leonard Fluxman	09-DEC-2025
0001768654-25-000007	/s/ Sarah I. Rubenfeld, by Power of Attorney	09-DEC-2025
0001902554-25-000007	/s/ Allison A. Westfall as Attorney-in-Fact for Aneesha Arora	09-DEC-2025
0001578060-25-000007	/s/ Jeannine J. Lane, as Attorney-in-Fact for Thomas A. Surran	09-DEC-2025
0001268885-25-000006	/s/ Michael Dunn, Attorney-in-Fact	09-DEC-2025
0001193125-25-312787	/s/ Steven John Andriola by Trecia Canty as Attorney-in-Fact	09-DEC-2025
0001629475-25-000003	By: /s/ Michelle R. Mortensen For: Shannon C. Dean	09-DEC-2025
0001433667-25-000004	/s/ Sarah I. Rubenfeld, by Power of Attorney	09-DEC-2025
0001254015-25-000003	/s/ Michael Dunn, Attorney-in-Fact	09-DEC-2025
0001193125-25-312779	/s/ Margaret Hayne	09-DEC-2025
0001836981-25-000031	/s/ Sean Ricker	09-DEC-2025
0001795497-25-000006	/s/ Michael Dunn, Attorney-in-Fact	09-DEC-2025
0001627197-25-000004	/s/ Sarah I. Rubenfeld, by Power of Attorney	09-DEC-2025
0001650440-25-000009	/s/ Allison A. Westfall, Attorney-in-Fact for Nicholas R. Farrell	09-DEC-2025
0001999001-25-000181	/s/ John Reilly	09-DEC-2025
0001193125-25-312775	/s/ Richard A. Hayne	09-DEC-2025
0001999001-25-000180	/s/ John Reilly	09-DEC-2025
0001867296-25-000008	/s/ Allison A. Westfall, Attorney-in-Fact for Bartel Ulrich	09-DEC-2025
0001909306-25-000003	/s/ Whitney Elliott, Attorney-in-Fact	09-DEC-2025
0001999001-25-000179	/s/ Richard A. Zimmerman	09-DEC-2025
0001584516-25-000009	/s/ Timothy J. Sangiovanni, Attorney-in-Fact for Alicia Secor	09-DEC-2025
0001965747-25-000003	By: /s/ Michelle R. Mortensen For: Shawn C. Bunting	09-DEC-2025
0002094766-25-000007	/s/ Matthew Meziere as attorney-in-fact	09-DEC-2025
0001628280-25-056081	/s/ Stephen Chen, as Attorney-in-Fact for Natalie Glance	09-DEC-2025
0001104659-25-119671	ABP Trust /s/ Matthew C. Brown Title: Treasurer	09-DEC-2025
0001104659-25-119671	The RMR Group Inc. /s/ Matthew C. Brown Title: Executive Vice President, Chief Financial Officer and Treasurer	09-DEC-2025
0001104659-25-119671	Tremont Realty Capital LLC /s/ Matthew C. Brown Title: Chief Financial Officer and Treasurer	09-DEC-2025
0001104659-25-119671	The RMR Group LLC /s/ Matthew C. Brown Title: Executive Vice President, Chief Financial Officer and Treasurer	09-DEC-2025
0001929771-25-000014	/s/ Matthew Meziere as attorney-in-fact	09-DEC-2025
0001791145-25-000017	/s/ Jeffery E. Whicker, Attorney-In-Fact	09-DEC-2025
0001214659-25-017786	/s/ Claire H. Hanna, Attorney-in-Fact	09-DEC-2025
0001185166-25-000006	/s/ Sarah I. Rubenfeld, by Power of Attorney	09-DEC-2025
0000008146-25-000005	/s/ Daniel Clevenger, by Power of Attorney	09-DEC-2025
0001283405-25-000005	/s/ Bradley Larkin, attorney-in-fact	09-DEC-2025
0001796226-25-000007	/s/ Andrew Murphy	09-DEC-2025
0001884757-25-000026	/s/ Matthew Meziere as attorney-in-fact	09-DEC-2025
0001214659-25-017785	/s/ Claire H. Hanna, Attorney-in-Fact	09-DEC-2025
0001096906-25-002003	/s/ Gilbert A. Fuller	09-DEC-2025
0001584516-25-000007	/s/ Timothy J. Sangiovanni, Attorney-in-Fact for Alicia Secor	09-DEC-2025
0001628280-25-056080	/s/ Ali Olivo, Attorney-in-Fact	09-DEC-2025
0001214659-25-017784	/s/ Claire H. Hanna, Attorney-in-Fact	09-DEC-2025
0002064832-25-000078	/s/ Daniel Clevenger, by Power of Attorney	09-DEC-2025
0001214659-25-017783	/s/ Claire H. Hanna, Attorney-in-Fact	09-DEC-2025
0002064832-25-000077	/s/ Daniel Clevenger, by Power of Attorney	09-DEC-2025
0001628280-25-056078	/s/ Candace Jackson, as Attorney-in-Fact	09-DEC-2025
0002064832-25-000076	/s/ Daniel Clevenger, by Power of Attorney	09-DEC-2025
0001110803-25-000091	Robert Maynes for Jakob Wedel Christensen	09-DEC-2025
0002064832-25-000075	/s/ Daniel Clevenger, by Power of Attorney	09-DEC-2025
0001683168-25-009020	/s/ Jose Gamez, Attorney-in-Fact	09-DEC-2025
0001823009-25-000009	/s/ Shanti Ariker pursuant to power of attorney	09-DEC-2025
0001402094-25-000003	/s/ Shanti Ariker pursuant to power of attorney	09-DEC-2025
0001823008-25-000005	/s/ Shanti Ariker pursuant to power of attorney	09-DEC-2025
0001193125-25-312754	/s/ Denise Dickins	09-DEC-2025
0001596281-25-000005	/s/ Shanti Ariker pursuant to power of attorney	09-DEC-2025
0001802241-25-000004	/s/ Andrew Polovin, Attorney-in-Fact	09-DEC-2025
0001677418-25-000018	/s/ Stephen P. Ewald, Attorney-in-Fact for Susan E. Burwig	09-DEC-2025
0001483027-25-000004	/s/ Mary Maurice Young	09-DEC-2025
0001096906-25-002001	/s/ H. Craig Moody	09-DEC-2025
0001628280-25-056074	/s/ Bruce Wang, as attorney-in-fact for Taoufiq Boussaid	09-DEC-2025
0001055353-25-000004	/s/ Douglas R. Casella	09-DEC-2025
0000899140-25-001417	/s/ Anil Doradla, by power of attorney	09-DEC-2025
0001603856-25-000005	David Flechner (Attorney-in-Fact)	09-DEC-2025
0001564279-25-000004	/s/ Edmond R. Coletta	09-DEC-2025
0000897069-25-001780	/s/ Brook Armstrong Baker	09-DEC-2025
0001628280-25-056072	/s/ Bruce Wang, as attorney-in-fact for Marc Winterhoff	09-DEC-2025
0001493152-25-026848	Opaleye Management Inc., By: /s/ James Silverman, President	09-DEC-2025
0001849052-25-000007	/s/ Bradley Larkin, attorney-in-fact	09-DEC-2025
0001708062-25-000005	/s/ Patricia Walesiewicz, attorney-in-fact	09-DEC-2025
0002016845-25-000004	/s/ Steven R. Watts, as attorney-in-fact for Olivier Bron pursuant to a Power of Attorney	09-DEC-2025
0002040705-25-000002	/s/ John Alden, Attorney-in-Fact	09-DEC-2025
0001663758-25-000007	/s/ Marion McCourt	09-DEC-2025
0000897069-25-001778	/s/ Brook Armstrong Baker	09-DEC-2025
0001628280-25-056067	/s/ Bruce Wang, as attorney-in-fact for Gagan Dhingra	09-DEC-2025
0001847591-25-000008	/s/ Chance Huber, attorney-in-fact	09-DEC-2025
0002054276-25-000005	/s/ Chance Huber, attorney-in-fact	09-DEC-2025
0001815638-25-000005	/s/ John Alden, Attorney-in-Fact	09-DEC-2025
0001677141-25-000008	/s/ Christian Ulrich, Attorney-in-Fact	09-DEC-2025
0001972630-25-000008	J. P. Baetzhold, Attorney in Fact	09-DEC-2025
0001904328-25-000012	/s/ Chance Huber, attorney-in-fact	09-DEC-2025
0000905148-25-004282	/s/ David Pelsue, Attorney-in-Fact	09-DEC-2025
0001238303-25-000007	/s/ Joseph LaRosa	09-DEC-2025
0001740361-25-000008	/s/ Chance Huber, attorney-in-fact	09-DEC-2025
0001807758-25-000010	/s/ Chance Huber, attorney-in-fact	09-DEC-2025
0001012975-25-000886	/s/ W. Larry Cash	09-DEC-2025
0001789109-25-000012	/s/ Chance Huber, attorney-in-fact	09-DEC-2025
0001697422-25-000004	/s/ Christopher R. Fenimore	09-DEC-2025
0001768567-25-000011	/s/ Chance Huber, attorney-in-fact	09-DEC-2025
0000950103-25-015913	/s/ Adam M. Kleinman, attorney-in-fact	09-DEC-2025
0002050375-25-000004	/s /Keith Larson, Attorney-in-Fact for Earl Thomas	09-DEC-2025
0001974721-25-000013	/s/ Melissa Glass, on behalf of Kathryn Diaz, by Power of Attorney	09-DEC-2025
0001514954-25-000006	/s/Asaf Silberstein by Mark Lin under Power of Attorney dated November 5, 2025 (Copy On File)	09-DEC-2025
0001561550-25-000348	/s/ Kerry Acocella	09-DEC-2025
0001628280-25-056062	/s/ Emmanuelle Lee, attorney-in-fact for Brian Schopfer	09-DEC-2025
0000760498-25-000012	/s/By POA from Darryl Schmidt	09-DEC-2025
0001781310-25-000008	J. P. Baetzhold, Attorney in Fact	09-DEC-2025
0001182633-25-000015	/s/ Melvin Sharoky, M.D, by Michael A. Smith as Attorney-in-fact	09-DEC-2025
0001193125-25-312740	/s/ Kathleen R. Henry, by Power of Attorney	09-DEC-2025
0001193125-25-312739	Jon D. Sawyer	08-DEC-2025
0001193125-25-312738	Todd E. Siegel	08-DEC-2025
0001193125-25-312737	Larissa Tiffany Pommeraud	08-DEC-2025
0001672688-25-000096	/s/ Shelby Walker, attorney-in-fact	09-DEC-2025
0001193125-25-312734	s/ Colby Alexis - Colby Alexis pursuant to a power of attorney from Lester Knight	09-DEC-2025
0001193125-25-312732	/s/ Alex Kogan, by power of attorney	09-DEC-2025
0000024741-25-000135	Melissa J. Gambol, Power of Attorney	09-DEC-2025
0001780940-25-000013	Todd Suko, Attorney in Fact for Steve Lo	09-DEC-2025
0001571123-25-000192	Hilary L. Hageman, Attorney-in-fact	09-DEC-2025
0001571123-25-000191	Hilary L. Hageman, Attorney-in-fact	09-DEC-2025
0001104659-25-119653	/s/ Stephen S. Sypherd, Attorney-in-Fact	09-DEC-2025
0001493152-25-026840	/s/ Thomas L. Walker	09-DEC-2025
0001193125-25-312719	/s/ Alex Kogan, by power of attorney	09-DEC-2025
0000024741-25-000134	Melissa J. Gambol, Power of Attorney	09-DEC-2025
0001858812-25-000008	J. P. Baetzhold, Attorney in Fact	09-DEC-2025
0001486806-25-000006	/s/ Michael Korenko	09-DEC-2025
0001193125-25-312718	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312717	/s/ Preston B. Ray, as attorney-in-fact	09-DEC-2025
0001193125-25-312716	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312715	/s/ Preston B. Ray, Attorney-in-Fact	09-DEC-2025
0001193125-25-312714	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312713	/s/ Preston B. Ray, Attorney-in-Fact	09-DEC-2025
0001193125-25-312712	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312711	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312710	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312709	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312708	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312707	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312706	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312705	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312704	/s/Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312703	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001193125-25-312702	/s/ Preston B. Ray, attorney-in-fact	09-DEC-2025
0001171437-25-000011	Jonathan R. Nahhat, by POA from Brian O. Casey	09-DEC-2025
0001781298-25-000008	J. P. Baetzhold, Attorney in Fact	09-DEC-2025
0002060195-25-000007	J. P. Baetzhold, Attorney in Fact	09-DEC-2025
0002055888-25-000007	J. P. Baetzhold, Attorney in Fact	09-DEC-2025
0001190255-25-000002	/s/ Whitney Elliott, Attorney-in-Fact	09-DEC-2025
0001657302-25-000004	/s/ Whitney Elliott, Attorney-in-Fact	09-DEC-2025
0002074423-25-000006	J. P. Baetzhold, Attorney in Fact	09-DEC-2025
0001810699-25-000003	David M. Tullio by Douglas M. Schosser, Attorney-in-Fact	09-DEC-2025
0001495829-25-000009	J. P. Baetzhold, Attorney in Fact	09-DEC-2025
0000905148-25-004279	/s/ Matthew Whalen	09-DEC-2025
0001185533-25-000011	Douglas R. Jamieson as Attorney-in-Fact for Mario J. Gabelli	09-DEC-2025
0000905148-25-004278	/s/ Matthew Whalen	09-DEC-2025
0000905148-25-004277	/s/ Jayme Fagas	09-DEC-2025
0000905148-25-004276	/s/ Jayme Fagas	09-DEC-2025
0001628280-25-056045	Laura Gleason, Attorney-in-Fact for Louis R. Cestello	09-DEC-2025
0001250706-25-000003	/s/ Brian F. Coleman	08-DEC-2025
0001437749-25-037248	/s/ Jeff Sensiba, Attorney-in-Fact	09-DEC-2025
0000943819-25-000187	/s/ Michael J. Farrell, Chairman and CEO	09-DEC-2025
0001213900-25-119627	Steinwert Kent A	05-DEC-2025
0001213900-25-119626	Long Gary J.	05-DEC-2025
0001753926-25-001864	/s/ John M. Francis IV	09-DEC-2025
0001437749-25-037246	/s/ Matthew Lawrence, pursuant to power of attorney	09-DEC-2025
0001899752-25-000005	/s/ Rodger A. McHargue POA for Susan M Jensen	09-DEC-2025
0000700565-25-000061	/s/ Matthew K. Smith, attorney-in-fact for Mr. Melvin	09-DEC-2025
0001591588-25-000036	/s/Carol Meltzer, by power of attorney	09-DEC-2025
0001628280-25-056029	/s/ Emily Fuquay, by power of attorney for John McCartney	09-DEC-2025
0001493152-25-026819	/s/ Timothy Brocopp	09-DEC-2025
0001493152-25-026817	/s/ Richard Blackstone	09-DEC-2025
0000919574-25-007297	FINE CAPITAL PARTNERS, L.P., By: Fine Capital Advisors, LLC, its general partner, /s/ Debra Fine	09-DEC-2025
0000919574-25-007297	DEBRA FINE /s/ Debra Fine	09-DEC-2025
0000919574-25-007297	FINE CAPITAL ADVISORS, LLC, By: /s/ Debra Fine, Debra Fine, Manager	09-DEC-2025
0000074260-25-000163	By Victoria Pool, Power of Attorney for Jeffery Lange	09-DEC-2025
0001225208-25-009793	/s/ Katherine H. Larson by Jonathan J. Doyle as Attorney-in-Fact	09-DEC-2025
0001424453-25-000006	/s/ Shirley Cantrell, Attorney-in-Fact	09-DEC-2025
0001042167-25-000072	/s/ Phil R. Greenberg, via Power of Attorney	08-DEC-2025
0001437749-25-037228	/s/ Scott Brown, pursuant to power of attorney	09-DEC-2025
0001193125-25-312344	Joel Lambert, attorney-in-fact	09-DEC-2025
0001042167-25-000071	/s/ Phil R. Greenberg, via Power of Attorney	08-DEC-2025
0001096906-25-001995	/s/ Andrew Quist	09-DEC-2025
0001042167-25-000070	/s/ Phil R. Greenberg, via Power of Attorney	08-DEC-2025
0001434936-25-000003	/s/ Becka J. Turnbow, Attorney-in-Fact	09-DEC-2025
0001042167-25-000069	/s/ Phil R. Greenberg, via Power of Attorney	08-DEC-2025
0000765207-25-000059	Robert B. Gregory	09-DEC-2025
0000108985-25-000097	Molly Elizabeth Houck, Assistant Secretary by Power of Attorney	09-DEC-2025
0001213900-25-119532	Misasi J. Ryan	05-DEC-2025
0001320762-25-000005	James Hesketh	09-DEC-2025
0002099318-25-000003	Sarah Madsen, as attorney in fact for Rawlins, Brian	09-DEC-2025
0001042167-25-000068	/s/ Phil R. Greenberg, via Power of Attorney	08-DEC-2025
0001899338-25-000012	John Foster	09-DEC-2025
0001104657-25-000203	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000202	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000201	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000200	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000199	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000198	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000197	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000196	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000195	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000194	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000193	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001104657-25-000192	/s/Michelle R. Mekinda, as Attorney-In-Fact	09-DEC-2025
0001437749-25-037225	/s/ Jennifer Staub, pursuant to power of attorney	09-DEC-2025
0001042167-25-000067	/s/ Phil R. Greenberg, via Power of Attorney	08-DEC-2025
0001437749-25-037224	/s/ Jay Kesslen, attorney-in-fact	09-DEC-2025
0001185185-25-001981	/s/ Ved Narayan	05-DEC-2025
0001437749-25-037223	/s/ Jay Kesslen, attorney-in-fact	09-DEC-2025
0001042167-25-000066	/s/ Phil R. Greenberg, via Power of Attorney	08-DEC-2025
0002026271-25-000002	Megan Hickey, as attorney in fact	09-DEC-2025
0001042167-25-000065	/s/ Phil R. Greenberg, via Power of Attorney	08-DEC-2024
0001437749-25-037222	/s/ Jay Kesslen, attorney-in-fact	09-DEC-2025
0001437749-25-037221	/s/ William R. Gonzalez	09-DEC-2025
0001207300-25-000005	Jean K. Holley	09-DEC-2025
0001493152-25-026802	/s/ Michael Blisko	09-DEC-2025
0001185185-25-001979	/s/ Robert Ian Angell	04-DEC-2025
0001510281-25-000616	Saba Capital Management, L.P. By: Zachary Gindes	09-DEC-2025
0001510281-25-000616	Boaz Weinstein	09-DEC-2025
0001510281-25-000615	Saba Capital Management, L.P. By: Zachary Gindes	09-DEC-2025
0001510281-25-000615	Boaz Weinstein	09-DEC-2025
0001510281-25-000614	Boaz Weinstein	09-DEC-2025
0001510281-25-000614	Saba Capital Management, L.P. By: Zachary Gindes	09-DEC-2025
0001193125-25-312134	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312133	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312131	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001225208-25-009792	Maria Allen, Power of Attorney	09-DEC-2025
0001193125-25-312127	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312122	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312121	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312116	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312115	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0000073309-25-000010	/s/Caitlin A. Kelly, attorney-in-fact for Mr. Keller	09-DEC-2025
0001193125-25-312111	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312109	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312100	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312099	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312098	/s/ Jonathan Young, Attorney-in-Fact	09-DEC-2025
0001193125-25-312092	/s/ Jonathan Young	09-DEC-2025
0001193004-25-000003	/s/ Judy R. McReynolds	09-DEC-2025
0001943782-25-000004	/s/ Whitney Elliott, Attorney-in-Fact	09-DEC-2025
0001638509-25-000013	/s/Amanda M. Ducey by Power of Attorney for Gregory A. Duffey	09-DEC-2025
0000004977-25-000174	By: Brooke R. Phillips For: Steven K. Beaver	09-DEC-2025
0001437749-25-037211	/s/ Victor L. Cangelosi, pursuant to power of attorney	08-DEC-2025
0001493152-25-026796	/s/ Brent Morrison	09-DEC-2025
0000004977-25-000172	By: Brooke R. Phillips For: Audrey B. Tillman	09-DEC-2025
0001096906-25-001992	Louis Hoch	08-DEC-2025
0001392266-25-000006	/s/ Charles S. Berkman	09-DEC-2025
0001462354-25-000007	By: /s/ Charles S. Berkman, Attorney-in-Fact  For: Kurt A. Gustafson	09-DEC-2025
0001237556-25-000013	By: /s/ Charles S. Berkman, Attorney-in-Fact for Matthew W. Foehr	09-DEC-2025
0001493152-25-026788	/s/ Stuart D. Porter	09-DEC-2025
0001511034-25-000006	Adi Osovsky, Attorney-in-Fact	09-DEC-2025
0002079210-25-000003	Adi Osovsky, Attorney-in-Fact	09-DEC-2025
0001654979-25-000006	Adi Osovsky, Attorney-in-Fact	09-DEC-2025
0001493152-25-026777	/S/ Kevin Ontiveros, by power of attorney	09-DEC-2025
0000067887-25-000135	/s/ Eric Moss, as Power of Attorney for Donald R. Fishback	09-DEC-2025
0001628280-25-055950	/s/ Thomas Lynn, Attorney-in-Fact	09-DEC-2025
0001416750-25-000005	/s/ Cecilia Aza, attorney-in-fact	09-DEC-2025
0001213900-25-119418	/s/ Mark N. Tompkins	09-DEC-2025
0001857843-25-000010	/s/ Vincent Fontanilla, Attorney-in-Fact	08-DEC-2025
0001753926-25-001863	/s/ Seth Young	08-DEC-2025
0001379344-25-000004	/s/ Aneta Fergson, Attorney-in-Fact	08-DEC-2025
0001736315-25-000004	/s/ Aneta Fergson, Attorney-in-Fact	08-DEC-2025
0001437749-25-037206	/s/ Edward Berg, Attorney-in-Fact	08-DEC-2025
0001775297-25-000007	/s/ Carolyn Mo by Power of Attorney for Jill Hazelbaker	08-DEC-2025
0001871615-25-000008	/s/ John G. Saia, as attorney-in-fact for Chris Freeman	08-DEC-2025
0001702824-25-000008	/s/ John G. Saia, as attorney-in-fact for Michael Brian Bell	08-DEC-2025
0001336504-25-000007	/s/ John G. Saia, as attorney-in-fact for Ian T. Clark	08-DEC-2025
0001628280-25-055942	/s/ Jennifer C. McGarey, Attorney-in-Fact	08-DEC-2025
0001683168-25-008995	/s/ Ryan Matthew Lane	08-DEC-2025
0001867203-25-000006	/s/ Thomas M. Lair, as power of attorney	08-DEC-2025
0001628280-25-055940	/s/ Michael Silberman as attorney-in-fact for Jeff McNeil	08-DEC-2025
0001628280-25-055938	/s/ Michael Silberman as attorney-in-fact for Russell Stidolph	08-DEC-2025
0001104659-25-119424	/s/ Adam D. Portnoy	08-DEC-2025
0001104659-25-119423	/s/ Matthew C. Brown	08-DEC-2025
0001104659-25-119422	/s/ Matthew P. Jordan	08-DEC-2025
0001104659-25-119421	/s/ Barbara D. Gilmore	08-DEC-2025
0001104659-25-119420	/s/ Ann Marie Danner	08-DEC-2025
0001140361-25-044909	/s/ Mark McKechnie	08-DEC-2025
0001493152-25-026739	SB Northstar LP, By: /s/ Stephen Lam, Director	08-DEC-2025
0001493152-25-026739	SVF II Strategic Investments AIV LLC, By: /s/ Stephen Lam, Director	08-DEC-2025
0001493152-25-026739	SoftBank Group Corp., By: /s/ Yuko Yamamoto, Head of Corporate Legal Department	08-DEC-2025
0001493152-25-026739	SVF II Holdings (DE) LLC, By: /s/ Jonathan Duckles, Director	08-DEC-2025
0001493152-25-026739	Silver Brick Management PTE. LTD., By: /s/ Kozo Aramaki, Director	08-DEC-2025
0001493152-25-026739	SVF II SPAC Investment 3 (DE) LLC, By: /s/ Jonathan Duckles, Director	08-DEC-2025
0001493152-25-026739	SB Global Advisers Limited, By: /s/ Stephen Lam, General Counsel	08-DEC-2025
0001493152-25-026739	SoftBank Vision Fund II-2 L.P., By: SB Global Advisers Limited, its Manager, By: /s/ Stephen Lam, General Counsel	08-DEC-2025
0001493152-25-026739	SVF II Aggregator (Jersey) L.P., By: /s/ Michael Johnson, Director	08-DEC-2025
0001493152-25-026737	SVF Sponsor III (DE) LLC, By: /s/ Jonathan Duckles, Director	08-DEC-2025
0001493152-25-026737	SB Investment Advisers (US) Inc., By: /s/ Amanda Sanchez-Barry, General Counsel	08-DEC-2025
0001504430-25-000006	/s/ David Scott Offer, by Kristine Murphy as attorney-in-fact	08-DEC-2025
0001075736-25-000038	/s/ Anand Buch	08-DEC-2025
0001104659-25-119419	/s/ Thomas J. Lorenzini	08-DEC-2025
0001104659-25-119418	/s/ Joseph Morea	08-DEC-2025
0001104659-25-119417	/s/ Jeffrey P. Somers	08-DEC-2025
0001104659-25-119416	/s/ Jonathan M. Rothberg, Ph.D.	08-DEC-2025
0001075736-25-000036	/s/ David Tzat-kin Wang	08-DEC-2025
0001648690-25-000005	/s/ Sundance Banks, Attorney-in-Fact	08-DEC-2025
0001193125-25-311621	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001193125-25-311619	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001193125-25-311615	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001628280-25-055932	/s/ Michael Silberman as attorney-in-fact for Alexander Dimitrief	08-DEC-2025
0001104659-25-119409	/s/ David M. Howitt	08-DEC-2025
0001628280-25-055931	/s/ Michael Silberman as attorney-in-fact for Jeffrey Bornstein	08-DEC-2025
0001193125-25-311612	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001493152-25-026727	/s/ Louis Schwartz	08-DEC-2025
0001493152-25-026724	/s/ Paul Hamilton	08-DEC-2025
0001493152-25-026725	/s/ Justin Kenna	08-DEC-2025
0001493152-25-026726	/s/ Nick Lewin	08-DEC-2025
0001628280-25-055930	/s/ Michael Silberman as attorney-in-fact for Marian Walters	08-DEC-2025
0001615515-25-000013	/s/ Misty Lavender, Attorney in Fact	05-DEC-2025
0001193125-25-311608	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001193125-25-311607	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001193125-25-311605	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001193125-25-311604	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001193125-25-311603	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001193125-25-311602	/s/ Laurie A. Churchill, Attorney-in-fact	08-DEC-2025
0001477932-25-008851	/s/ Anthony Brian Goodman, as Managing Member of Luxor Capital LLC	08-DEC-2025
0001477932-25-008851	/s/ Anthony Brian Goodman	08-DEC-2025
0001981599-25-000099	/s/ Jason S. Wilcock, as attorney-in-fact for Christian Brown	08-DEC-2025
0001104659-25-119408	/s/ Courtney Fandrick, Authorized Person of Eagle Point DIF GP I LLC	08-DEC-2025
0001104659-25-119408	/s/ Courtney Fandrick, Chief Compliance Officer of Eagle Point Credit Management LLC	08-DEC-2025
0001104659-25-119407	/s/ Maria Maccecchini Attorney-in-Fact	08-DEC-2025
0001628280-25-055927	/s/ Latha Vairavan, as Attorney-in-Fact for Amit Munshi	08-DEC-2025
0001213900-25-119383	/s/ Orkun Kilic, as Co-Manager	08-DEC-2025
0001628280-25-055925	/s/ Latha Vairavan, as Attorney-in-Fact for Amit Munshi	08-DEC-2025
0001213900-25-119382	/s/ Sean Davey Ryan	08-DEC-2025
0001780854-25-000003	/s/ Sharon Benzeno by Kyle Piskel, Attorney-in-Fact	08-DEC-2025
0001213900-25-119381	/s/ Orkun Kilic	08-DEC-2025
0001778610-25-000009	/s/ Remie Solano, Attorney-in-Fact	08-DEC-2025
0001253512-25-000008	/s/ Remie Solano, Attorney-in-Fact	08-DEC-2025
0001193125-25-311590	/s/Claire Hur as attorney-in-fact for Thomas Stenger	08-DEC-2025
0001213900-25-119380	/s/ Nimika Karadia	08-DEC-2025
0001213900-25-119379	/s/ Husnu Akin Babayigit	08-DEC-2025
0001213900-25-119378	/s/ Debra Schwartz	08-DEC-2025
0001780227-25-000005	/s/ Kevin C. Chen, by power of attorney	08-DEC-2025
0001558267-25-000004	/s/ Kevin C. Chen, by power of attorney	08-DEC-2025
0001713974-25-000005	/s/ David Lam	08-DEC-2025
0002050978-25-000003	/s/ Charmaine Lightheart	08-DEC-2025
0001991643-25-000004	/s/ Michael Sventek	08-DEC-2025
0001958245-25-000003	/s/ C. Evan Sowers	08-DEC-2025
0001991703-25-000004	/s/ Robert Benke	08-DEC-2025
0001602079-25-000004	/s/ Daniel D. Cox	08-DEC-2025
0001322325-25-000003	/s/ Nicole Sherman	08-DEC-2025
